athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,First Name,born_year
140505,Pedro de la Vega,2001-02-07,Olavarría,Provincia de Buenos Aires,ARG,Argentina,177.0,,,Pedro,2001.0
140507,Thiago Almada,2001-04-26,Ciudadela,Ciudad Autónoma de Buenos Aires,ARG,Argentina,171.0,,,Thiago,2001.0
140545,Varsenik Manucharyan,2003-07-11,Yerevan,Yerevan,ARM,Armenia,,,,Varsenik,2003.0
140567,Ellie Beer,2003-01-03,,,,Australia,,,,Ellie,2003.0
140582,Rebecca Henderson,2001-07-04,Dandenong,Victoria,AUS,Australia,,,,Rebecca,2001.0
140601,Oceania Mackenzie,2002-07-11,Heidelberg,Baden-Württemberg,GER,Australia,,,,Oceania,2002.0
140610,Charlotte Grant,2001-09-20,,,,Australia,165.0,,,Charlotte,2001.0
140611,Courtney Nevin,2002-02-12,Blacktown,New South Wales,AUS,Australia,,,,Courtney,2002.0
140613,Kyra Cooney-Cross,2002-02-15,Herston,Queensland,AUS,Australia,164.0,,,Kyra,2002.0
140614,Mary Fowler,2003-02-14,Cairns,Queensland,AUS,Australia,171.0,,,Mary,2003.0
140632,Maddison Levi,2002-04-27,,,,Australia,186.0,72.0,,Maddison,2002.0
140633,Madison Ashby,2001-01-22,,,,Australia,165.0,,,Madison,2001.0
140634,Sariah Paki,2001-10-12,,,,Australia,172.0,73.0,,Sariah,2001.0
140635,Tia Hinds,2002-05-11,Sydney,New South Wales,AUS,Australia,168.0,66.0,,Tia,2002.0
140659,Katarina Kowplos,2001-10-05,,,,Australia,,,,Katarina,2001.0
140662,Hayley Wilson,2001-10-29,Mansfield,Victoria,AUS,Australia,,,,Hayley,2001.0
140683,Kiera Gazzard,2001-11-05,,,,Australia,182.0,,,Kiera,2001.0
140693,Meg Harris,2002-03-07,Albury,New South Wales,AUS,Australia,,,,Meg,2002.0
140694,Mollie O'Callaghan,2004-04-02,,,,Australia,,,,Mollie,2004.0
140699,Reba Stewart,2001-05-20,,,,Australia,,,,Reba,2001.0
140754,Cassiel Rousseau,2001-02-04,Brisbane,Queensland,AUS,Australia,,,,Cassiel,2001.0
140755,Sam Fricker,2002-05-04,Cronulla,New South Wales,AUS,Australia,,,,Sam,2002.0
140760,Caleb Watts,2002-01-16,Hammersmith,England,GBR,Australia,,,,Caleb,2002.0
140773,Marco Tilio,2001-08-23,Sydney,New South Wales,AUS,Australia,,,,Marco,2001.0
140795,Dietrich Roache,2001-07-06,,,,Australia,,,,Dietrich,2001.0
140825,Keegan Palmer,2003-03-13,San Diego,California,USA,Australia,,,,Keegan,2003.0
140826,Kieran Woolley,2003-11-20,Kiama,New South Wales,AUS,Australia,,,,Kieran,2003.0
140833,Isaac Cooper,2004-01-07,Bundaberg,Queensland,AUS,Australia,,,,Isaac,2004.0
140838,Se-Bom Lee,2001-06-12,,,,Australia,,,,Se-Bom,2001.0
140839,Thomas Neill,2002-06-09,Hong Kong,Hong Kong,HKG,Australia,,,,Thomas,2002.0
140869,Valentina Cavallar,2001-03-07,,,,Austria,,,,Valentina,2001.0
140874,Lena Grabowski,2002-09-10,,,,Austria,,,,Lena,2002.0
140907,Darya Sorokina,2002-11-29,Bakı,Bakı,AZE,Azerbaijan,,,,Darya,2002.0
140908,Ləman Əlimuradova,2004-11-29,,,,Azerbaijan,,,,Ləman,2004.0
140909,Nərminə Səmədova,2004-06-10,Bakı,Bakı,AZE,Azerbaijan,,,,Nərminə,2004.0
140911,Zöhrə Ağamirova,2001-08-08,Bakı,Bakı,AZE,Azerbaijan,155.0,,,Zöhrə,2001.0
140912,Məryəm Şeyxəlizadəxangah,2004-07-18,Tehran,Tehran,IRI,Azerbaijan,,,,Məryəm,2004.0
140932,Lacarthea Cooper,2004-03-25,,,,The Bahamas,,,,Lacarthea,2004.0
140934,Diya Siddique,2004-02-19,,,,Bangladesh,,,,Diya,2004.0
140935,Junayna Ahmed,2003-06-30,London,England,GBR,Bangladesh,,,,Junayna,2003.0
140937,Jahir Rayhan,2001-04-25,,,,Bangladesh,,,,Jahir,2001.0
140939,Danielle Titus,2002-08-13,Bridgetown,Saint Michael,BAR,Barbados,,,,Danielle,2002.0
140976,Jutta Verkest,2005-10-11,Mechelen (Mechlin),Antwerpen,BEL,Belgium,,,,Jutta,2005.0
140977,Lisa Vaelen,2004-08-10,Bonheiden,Antwerpen,BEL,Belgium,,,,Lisa,2004.0
140978,Maellyse Brassart,2001-06-22,Uccle,Région de Bruxelles-Capitale,BEL,Belgium,162.0,,,Maellyse,2001.0
140983,Lore Bruggeman,2002-04-30,Deerlijk,West-Vlaanderen,BEL,Belgium,,,,Lore,2002.0
140988,Nina Sterckx,2002-07-26,Sint-Denijs-Westrem,Oost-Vlaanderen,BEL,Belgium,,,,Nina,2002.0
141028,Sangay Tenzin,2003-09-07,,,,Bhutan,,,,Sangay,2003.0
141029,Lana Pudar,2006-01-19,Mostar,Hercegovačko-neretvanski kanton,BIH,Bosnia and Herzegovina,,,,Lana,2006.0
141031,Nedžad Husić,2001-09-15,Sarajevo,Kanton Sarajevo,BIH,Bosnia and Herzegovina,,,,Nedžad,2001.0
141039,Asteria Limai,2001-07-19,Minsk,Minsk,BLR,Belarus,173.0,57.0,,Asteria,2001.0
141054,Hanna Traukova,2001-08-01,Hrodna,Hrodna,BLR,Belarus,162.0,54.0,,Hanna,2001.0
141057,Alina Harnasko,2001-08-09,Minsk,Minsk,BLR,Belarus,175.0,52.0,,Alina,2001.0
141058,Anastasiya Malakanava,2003-05-01,Minsk,Minsk,BLR,Belarus,167.0,50.0,,Anastasiya,2003.0
141060,Anastasiya Salos,2002-02-18,Barnaul,Altay Kray,RUS,Belarus,150.0,42.0,,Anastasiya,2002.0
141061,Hanna Haidukevich,2001-03-26,Minsk,Minsk,BLR,Belarus,176.0,53.0,,Hanna,2001.0
141066,Vasilina Khandoshka,2001-08-16,Minsk,Minsk,BLR,Belarus,165.0,47.0,,Vasilina,2001.0
141067,Anastasiya Kuliashova,2001-11-30,Minsk,Minsk,BLR,Belarus,171.0,55.0,,Anastasiya,2001.0
141102,Gabriel Castillo,2001-04-24,,,,Bolivia,,,,Gabriel,2001.0
141105,Magdeline Moyengwa,2001-03-31,,,,Botswana,,,,Magdeline,2001.0
141159,Beatriz Linhares,2003-02-04,Florianópolis,Santa Catarina,BRA,Brazil,158.0,47.0,,Beatriz,2003.0
141160,Déborah Medrado,2002-07-13,Serra,Espírito Santo,BRA,Brazil,165.0,52.0,,Déborah,2002.0
141161,Geovanna Santos,2002-02-15,Pinheiros,Espírito Santo,BRA,Brazil,156.0,48.0,,Geovanna,2002.0
141162,Nicole Pircio,2002-07-24,Piracicaba,São Paulo,BRA,Brazil,166.0,48.0,,Nicole,2002.0
141164,Dora Varella,2001-07-31,São Paulo,São Paulo,BRA,Brazil,168.0,57.0,,Dora,2001.0
141165,Isadora Pacheco,2005-03-29,Florianópolis,Santa Catarina,BRA,Brazil,167.0,59.0,,Isadora,2005.0
141168,Rayssa Leal,2008-01-04,Imperatriz,Maranhão,BRA,Brazil,147.0,35.0,,Rayssa,2008.0
141175,Stephanie Balduccini,2004-09-20,São Paulo,São Paulo,BRA,Brazil,171.0,61.0,,Stephanie,2004.0
141183,Ana Cristina Souza,2004-04-07,Rio de Janeiro,Rio de Janeiro,BRA,Brazil,193.0,84.0,,Ana,2004.0
141218,Kawan Figueredo Pereira,2002-06-17,Parnaíba,Piauí,BRA,Brazil,165.0,72.0,,Kawan,2002.0
141234,Gabriel Martinelli,2001-06-18,Guarulhos,São Paulo,BRA,Brazil,180.0,75.0,,Gabriel,2001.0
141237, Lucão,2001-02-26,Barra Mansa,Rio de Janeiro,BRA,Brazil,190.0,,,,2001.0
141242, Reinier,2002-01-19,Brasília,Distrito Federal,BRA,Brazil,185.0,82.0,,,2002.0
141261,Giovanni Vianna,2001-01-26,Santo André,São Paulo,BRA,Brazil,180.0,68.0,,Giovanni,2001.0
141266,Pedro Quintas,2002-05-13,São Paulo,São Paulo,BRA,Brazil,175.0,70.0,,Pedro,2002.0
141292,Noor Yusuf,2005-10-03,,,,Bahrain,,,,Noor,2005.0
141293,Abdelrahman Mahmoud,2001-01-01,,,,Bahrain,,,,Abdelrahman,2001.0
141305,Husain Mahfoodh,2001-06-29,,,,Bahrain,,,,Husain,2001.0
141312,Abdulla Essa,2002-11-20,,,,Bahrain,,,,Abdulla,2002.0
141324,Stefani Kiryakova,2001-01-05,Burgas,Burgas,BUL,Bulgaria,170.0,,,Stefani,2001.0
141325,Selin Ali,2002-02-14,Aytos,Burgas,BUL,Bulgaria,159.0,,,Selin,2002.0
141331,Josif Miladinov,2003-06-23,Plovdiv,Plovdiv,BUL,Bulgaria,,,,Josif,2003.0
141332,Kaloyan Levterov,2003-02-08,Sofia,Sofia Grad,BUL,Bulgaria,,,,Kaloyan,2003.0
141339,Kheun Bunpichmorakat,2006-08-28,,,,Cambodia,,,,Kheun,2006.0
141361,Aaliyah Edwards,2002-07-09,Kingston,Ontario,CAN,Canada,,,,Aaliyah,2002.0
141364,Laeticia Amihere,2001-07-10,Mississauga,Ontario,CAN,Canada,,,,Laeticia,2001.0
141399,Jessica Guo,2005-06-23,Toronto,Ontario,CAN,Canada,,,,Jessica,2005.0
141403,Jayde Riviere,2001-01-22,Markham,Ontario,CAN,Canada,,,,Jayde,2001.0
141404,Jordyn Huitema,2001-05-08,Chilliwack,British Columbia,CAN,Canada,,,,Jordyn,2001.0
141407,Ava Stewart,2005-09-30,Lebanon,Tennessee,USA,Canada,,,,Ava,2005.0
141408,Brooklyn Moors,2001-02-23,Cambridge,Ontario,CAN,Canada,,,,Brooklyn,2001.0
141448,Rosalie Boissonneault,2003-07-04,Drummondville,Québec,CAN,Canada,,,,Rosalie,2003.0
141452,Katrina Bellio,2004-08-01,Mississauga,Ontario,CAN,Canada,,,,Katrina,2004.0
141453,Kayla Sanchez,2001-04-07,Singapore,Singapore,SGP,Canada,,,,Kayla,2001.0
141457,Summer McIntosh,2006-08-18,Toronto,Ontario,CAN,Canada,,,,Summer,2006.0
